民宿标题,价格,地利,评论数,得分,适合居住人数
【阿泽民宿】仲夏夜之梦阳光房 迅驰广场 长租优惠 自助入住公寓 财经学院附近,160,近东北师大地铁站,2,5.0,2
【橙途】动画学院/智能家居/瞰景一居,150,None,21,5.0,2
宿如归家•舒馨民宿loft,178,None,2,5.0,4
【柒玖】超豪华湖景/吉大南校/动画学院,180,近硅谷大街地铁站,27,5.0,2
【橙途】华侨外院/国信美邑/温馨一居,162,None,26,5.0,2
龙翔广场/北湖公园/吾悦广场轻奢两居,216,None,2,4.9,4
清幽小筑（住邦城市广场店）,105,None,6,4.9,2
loft大床房赛得广场/中日联/会展中心,178,近东南湖大路地铁站,44,4.8,2
【云端轻舍•哈勃假日】民康路壹克拉/地铁2号线/人民广场/吉大二院/巨幕投影/大床/密码锁,178,None,1,5.0,2
＜美居＞多人聚会/麻将机/火锅烧烤/空调,499,近东方广场地铁站,7,5.0,8
《庭院蜗居》50平带花园温泉度假民宿,270,None,5,5.0,2
【吉野舍】吉大南校·欢乐城·吊床·投影仪·近轻轨·密码无接触入住·大床房·空调,166,None,7,5.0,2
近商圈近医院近大学北欧风网红风轻奢风观景,323,None,1,5.0,6
【树懒民宿•馨】近机场  高速口  东方广场  净月大学城  亚泰新动力  温馨两居复式,388,None,5,5.0,4
红旗街商圈品质民宿【蓝月雅舍】之现代·黑,232,近湖西桥地铁站,3,4.7,2
长春地铁2号线loft主题公寓日租房民宿,188,近东方广场地铁站,3,4.3,4
【小欧】轻轨旁/近红旗街/卖场/近吉大一院，200平跃层大宅，台球、投影、麻将，好友小聚、轰趴、婚礼,753,None,5,5.0,12
像素公馆复式聚会麻将8人房,408,近世纪广场地铁站,55,4.9,8
温馨如家ins风公寓,118,近世纪广场地铁站,28,5.0,2
浴缸 双燃气灶、的奢华一居室 满房点头像,197,近世纪广场地铁站,25,5.0,2
 汐啡 垠禄新界影视房，临河街，中东大市场，中日会馆，北方市场，吉大二院，三院大学 医院 地铁4号线,196,近自由大路地铁站,5,5.0,2
袋鼠民宿摩天活力城赛德广场北欧装loft,165,None,2,5.0,2
长春盈嘉loft主题日租房,207,近东方广场地铁站,5,4.2,4
长春人民广场壹克拉公馆情侣小套间,138,近平阳街地铁站,25,4.8,2
红旗街/欧亚新生活/南湖旁/印记/省中研医院/吉大一院,158,None,2,5.0,2
长春理工大学近红旗街商圈步行5分钟温馨大床房,125,None,3,4.9,2
长春南湖主题复式loft酒店南湖公园商圈普通大床房,119,近卫明街地铁站,14,5.0,2
财经大学西侧，东师南侧，密码门锁精致公寓,95,近东北师大地铁站,4,5.0,2
金领公寓近国际会展中心近商圈近医院温馨私享,141,None,5,4.9,2
【密码锁】落地窗景观非常好，东师财大迅驰广场紧邻,106,近东北师大地铁站,2,4.0,2
欢乐颂766民宿（中东大市场店:)欧亚商圈近中日联谊交通便利医院温馨私享Loft复式附近有多所大学,110,None,9,4.9,2
【橙途】北站/宽城万达/轻奢投影一居,217,None,23,5.0,2
地铁旁高档小区156平大三居 可住16人,644,近亚泰大街地铁站,29,4.9,10
精品大床房 垠禄新界，中日友好会馆，海关  吉大二院 海口路站 临河街 生产资料 吉大三院 大学,196,近自由大路地铁站,30,4.8,2
砂之船地铁一号线温馨2居电梯房，可做饭,185,近北环城路地铁站,6,5.0,4
阿拉丁欧式轻奢麻将套房日租,331,近建设广场地铁站,45,4.9,4
红旗街万达广场短租公寓现代简约大床房【这有山】【吉大一院】【欧亚商都】【省医院】【南湖公园】,127,近湖西桥地铁站,44,4.8,2
蜗居•美式奢华LOFT私人影咖,238,近硅谷大街地铁站,8,4.5,2
长春关东商务民宿长春站/宽城万达经济大床房(无窗),109,近长春站地铁站,539,4.8,2
【橙途】绿园区/吉大和平校区/糖果一居,165,None,94,5.0,2
【海棠•民宿-素朴】欧亚新生活||智能门锁自助入住||独立公寓||南湖公园,178,近文化广场地铁站,4,4.8,2
美宿精品公寓 北欧轻奢大床房,134,近卫明街地铁站,10,4.9,2
【葡萄民宿•布朗尼】红旗街万达/这有山^,175,None,2,5.0,2
长春富民酒店中日联医院/中东大市场豪华大床房,109,近浦东路地铁站,123,4.3,2
【橙途】没热水器北环城路/砂之船三居,257,None,43,5.0,6
长春北站万达经典浪漫房,121,近长春站北地铁站,32,4.9,2
长春微澜轻奢酒店吉林大学前卫南区/硅谷大街罗马映像(无窗),242,近前进大街地铁站,5,5.0,2
长春爱侣电动床房,128,近长春站北地铁站,5,5.0,2
印心•初见浪漫婚纱loft南湖投影大床房,159,近卫明街地铁站,26,5.0,2
净月大学城摩洛哥风格浴缸一室一厅民宿近大学,227,None,4,5.0,2
思语  影视大床房 垠禄新界 临河街 中日友好会馆  海关 吉大三院，海口路站 生产资料  吉大二院,196,None,3,5.0,2
超美摩洛哥民宿 MOLI—拾六城市民宿,151,近南湖大路地铁站,8,4.8,2
长春北站万达经典浪漫房,121,近长春站北地铁站,32,4.9,2
ins黑白透明网红LOFT投影/已消毒,180,近卫明街地铁站,10,4.8,2
初见·寒露【会展中心】【地铁三号线】【净月潭公园】【长影世纪城】【投影仪超级影视会员】大床房,195,近世纪广场地铁站,11,5.0,2
轻轨旁含浴缸双燃气灶 奢华一居 会展中心,188,近世纪广场地铁站,15,5.0,2
随心～“黑纱”主题投影民宿大床房～动画学院～投影仪～吉大南校,168,None,3,5.0,2
【橙途】远达大街/蓝色港湾/观景Loft,165,None,20,5.0,2
超大空间 ，近商圈近医院温馨私享Loft复式,165,None,1,5.0,2
市中心 地铁旁 奢华三居室自动麻将机 ,552,None,13,5.0,6
长春安漫轻奢公寓长影世纪城/净月潭/大学城温馨大床房,166,近东北师大地铁站,23,4.7,2
市中心 地铁旁 奢华三居室自动麻将机 ,552,None,13,5.0,6
美式大床房,105,近世纪广场地铁站,4,5.0,2
长春浙商花园酒店重庆路/人民广场豪华家庭房,172,近人民广场地铁站,12,4.9,3
《袋鼠民宿》复式loft情侣投影大床房，浪漫定制空间，密码自住！,206,None,2,5.0,2
市中心 地铁旁 豪华三居室 自动麻将机 热水无限量,644,近工农广场地铁站,29,5.0,6
（逸馨）北站万达日租短租家庭式公寓（真实,121,近长春站北地铁站,55,4.7,2
【风华素年】净月大学城一室投影轻奢房,269,None,3,5.0,2
香芋精品公寓阳光硅谷店温馨榻榻米店,139,近硅谷大街地铁站,4,4.9,2
超大空间麻将房，电动窗帘，密码自住！,183,None,2,5.0,2
长春国潮民族风清新北欧风民宿/红旗街商圈独立一室公寓/万达广场/这有山/巨幕高清投影/密码锁自助入住,140,None,2,4.5,2
【万达文华】长春富力万达文华酒店红旗街/万达广场豪华大床房,884,近湖西桥地铁站,2239,4.9,2
【锦江之星】锦江之星(长春西安大路重庆路店)重庆路/人民广场标准零压大床房,183,近西安桥地铁站,6,5.0,1
超大空间 ，近商圈近医院温馨私享Loft复式,165,None,1,5.0,2
（长春师范）桃花缘自助式～八爪椅情趣房,174,近东环城路地铁站,7,5.0,2
