民宿标题,价格,地利,评论数,得分,适合居住人数
钟楼/鼓楼/地铁口/回民街/大唐不夜城/两室一厅套房,452,近钟楼地铁站,921,5.0,4
【阿飞云舍】欧亚国际/近华夏文旅/loft两居,342,None,2,5.0,4
朴宿•地铁口北欧日式榻榻米影院房,224,近大明宫西地铁站,11,5.0,2
【大城小筑】高新绿地笔客唐延路太白路宜居,259,近太白南路站地铁站,28,5.0,2
温馨私享观景大床房,195,None,10,4.8,2
西安快乐驿站公寓酒店钟鼓楼/回民街高级双床房,300,None,6,4.5,4
轻奢の巴黎投影浴缸大床房,295,近延平门站地铁站,11,5.0,2
【朴宿竹屋】老城根旁/钟鼓楼/城墙西北角,188,近玉祥门地铁站,3,4.8,2
国际会展中心奥体中心Loft复式大客厅,275,None,1,5.0,6
钟楼鼓楼回民街永兴坊大明宫豪华一居室,228,近龙首原地铁站,4,5.0,2
西安木子风格公寓高新技术开发区/绿地会展中心特惠房,190,近丈八北路站地铁站,21,4.9,2
西安世博园.丝绸之路.国际会展中心.全运会奥体中心.华夏文旅中心.沙之船奥莱.水上公园.,268,None,2,4.5,6
【天意】西安小雁塔附近三室套房,740,近南稍门地铁站,107,5.0,8
绿地柔心公寓,178,None,3,5.0,2
【橙子民宿】钟楼/鼓楼/回民街/城墙/投影阳光大床房,214,None,140,5.0,2
国际会展中心奥体中心Loft复式大客厅,275,None,1,5.0,6
钟楼鼓楼回民街永兴坊大明宫豪华一居室,228,近龙首原地铁站,4,5.0,2
西安木子风格公寓高新技术开发区/绿地会展中心特惠房,190,近丈八北路站地铁站,21,4.9,2
西安世博园.丝绸之路.国际会展中心.全运会奥体中心.华夏文旅中心.沙之船奥莱.水上公园.,268,None,2,4.5,6
【天意】西安小雁塔附近三室套房,740,近南稍门地铁站,107,5.0,8
绿地柔心公寓,178,None,3,5.0,2
【橙子民宿】钟楼/鼓楼/回民街/城墙/投影阳光大床房,214,None,140,5.0,2
【柚子•信風】临潼/兵马俑/华清池/影院,128,近临潼兵马俑旅游区,2,3.2,2
花田@雅居,276,None,5,5.0,2
漫长安设计师民宿心斋古风钟鼓楼回民街,170,近钟楼地铁站,3,4.9,2
【简遇】近钟楼/回民街/城墙/老城根 G,223,近玉祥门地铁站,1,5.0,2
房房家/高新路万科金域国际Loft公寓,287,近科技路站地铁站,22,5.0,2
车程3分钟至华清宫长恨歌&旅游地铁9号线&10分钟至兵马俑&代订演出票&屋顶花园&网红鸟巢•品质大床,298,None,6,4.9,2
【我行我宿】大雁塔芙蓉园海洋馆地铁旁两室,298,近青龙寺站地铁站,14,4.8,4
近纺织城唐都医院医学院二附院可直达兵马俑,111,近纺织城地铁站,15,4.9,3
【我行我宿】大雁塔芙蓉园海洋馆地铁旁两室,298,近青龙寺站地铁站,14,4.8,4
近纺织城唐都医院医学院二附院可直达兵马俑,111,近纺织城地铁站,15,4.9,3
钟鼓楼回民街永宁门12人房两厅双淋浴两卫,718,近永宁门地铁站,66,4.9,12
莉莉民宿,680,近长乐公园站地铁站,8,5.0,6
如家欣欣民宿双床三人间,167,None,5,5.0,3
西安宾至钟楼/回民街/地铁口/大雁塔/不夜城/大标准间,336,近钟楼地铁站,352,5.0,4
地暖印象城浪漫投影大床房/地铁/钟鼓楼/回民街/大唐不夜城,238,近龙首原地铁站,18,4.9,2
高新路中大国际对面万科高端公寓,245,近科技路站地铁站,39,4.8,2
【现代风】温馨舒适大床房，三桥地铁口。,138,近三桥地铁站,8,5.0,2
西安I see you主题酒店高新技术开发区/绿地会展中心枫林晚景圆床房,199,近太白南路站地铁站,7,5.0,2
【長安•忆 堇一露台景观房】钟鼓楼回民街/七寺十三坊 西安明城墙 设计师民宿,385,None,2,5.0,2
【亲子房】近南门/西安城墙/地铁二号线永宁门五分钟/大唐不夜城/回民街,220,None,None,None,3
【中海城】近地铁大雁塔不夜城曲江池边温馨两居,351,None,9,5.0,4
【拾光】唐延路绿地笔克丈八太白路电电视塔,265,近太白南路站地铁站,34,5.0,2
浅秋.拾光里    3号线d口近商圈温馨私享私人影院/投影设备,273,None,15,5.0,2
