民宿标题,价格,地利,评论数,得分,适合居住人数
M60乐澍-【心筑】免费喝咖啡/人气文创园/全景落地玻璃阳光房/旅游打卡/消毒安心住,193,None,4,4.9,2
【邂逅】一环地铁·清新北欧大床房·近翠湖南屏街·洗衣机·可开发票·安心消毒住,175,近穿心鼓楼地铁站,315,5.0,2
昆明仟逸酒店云大医院/潘家湾时尚大床房,125,近潘家湾地铁站,7,5.0,2
毗邻滇池南亚万达泰国乳胶床品高清投影小窝,219,近昆明火车站地铁站,64,5.0,2
忆伽.繁星\欣都龙城地铁口\榻榻米瞰夜景,188,近北辰地铁站,18,5.0,2
【侣行小家 炫彩】昆明站步行五分钟/大悦城/轻奢风温馨乳胶1.8米大床/免费行李寄存,178,None,36,4.9,2
清馨小筑•清风 世博园附近两居室,171,近白云路地铁站,19,4.6,4
【流年•时光】轻奢投影大床房 吾悦广场 ,152,近昌源中路地铁站,5,5.0,2
【相约昆明&彩云之南】昆明火车站/大悦城/万达广场/云纺商圈 /机场大巴/高铁/精致大床房（A）,136,None,9,5.0,2
【健康绿码入住都市弥漫】现代简约秋千大床房,133,近南部汽车站地铁站,46,4.6,2
西山滇池边一室一厅一厨一卫花园洋房,180,近西山公园地铁站,70,5.0,2
市中心地铁旁 同德昆明广场【初见▪浅暮】,154,近白云路地铁站,8,4.8,2
融创文旅城/滇池后海/融创乐园/云安会都/赤贫风大床房,142,None,2,4.6,2
〖一屋·奶茶〗市中心/翠湖旁温馨私人影院,216,None,2,5.0,2
『  韶光借梦民宿』这是一间日式田园风格的房间~房间内香薰味道很棒哦!,229,None,4,5.0,4
【告白】浴缸 投影仪一分钟地铁口 二次元  【宿颜】,198,近岷山地铁站,91,5.0,2
"【子旧居】市中心，近医院，近双商圈，新中式,四合院, 安静典雅 ,大床房 ",172,None,83,4.9,2
花漫山,111,近晓东村地铁站,3,5.0,2
近2号线司家营地铁站（步行12分钟），附近有甘美医院、野生动物园和瀑布公园等,216,None,7,5.0,5
【伊家·读书听风】市中心南屏电影地铁房,218,近穿心鼓楼地铁站,68,5.0,2
"【静语】ins风湖景大床房可看海鸥,近云大翠湖南屏街，交通便利，多公交地铁，篆新旁吃昆明小吃",182,近市体育馆地铁站,26,4.9,2
〖一屋·恋樱〗翠湖旁/150寸家庭影院,205,近穿心鼓楼地铁站,48,4.7,2
【见南山民宿】竹韵大床房（含早+24H长水机场免费接送）,230,None,59,5.0,2
昆明滇池醉美民宿滇池风景区/融创滇池后海三人间,172,近西山公园地铁站,36,4.8,3
【一间美宿】绿苑 市中心loft/南屏街/近医院/100寸投影/大落地窗/大客厅/金鹰/正义坊/翠湖,226,近交三桥地铁站,26,5.0,4
【過叁-No.2】昆明市区，近南屏街，沃尔玛，独门独户北欧。近3号线近商圈温馨私享私人影院/投影设备,178,None,2,5.0,2
低价长租清新loft，近海源学院昆医附二,198,近西苑地铁站,28,4.9,4
市中心老昆明两居，云大，翠湖，文林街,268,近潘家湾地铁站,43,5.0,4
北辰近地铁/有间禧舍智能一居室,283,近北辰地铁站,52,5.0,2
