民宿标题,价格,地利,评论数,得分,适合居住人数
【兴荣郡】临桂区兴荣郡两居室可做饭 可停车 近机场近桂林站 大客厅 视野好,148,近临桂新区,25,4.9,4
中心电梯房5楼+东西巷+王城景区,307,近两江四湖,46,4.9,5
阳朔喵小屋近西街,163,None,52,4.6,4
阳朔西街/摩洛哥纯爱主题ins风/超仙不贵/近西街泡吧方便/不怕晚归/交通便利【阳朔小毛驴民宿】,155,None,51,4.8,3
超大空间商务双床房，享免费停车，早餐和泳池,402,近七星公园,29,4.9,2
嗷屋·佳期如梦-近象鼻山两江四湖机场大巴,158,近火车南站,43,4.9,2
【每客消毒，地段王】下楼即两江四湖，近漓江/象鼻山/象山公园/东西巷/火车站，市中心榕湖旁投影大三房,408,近芦笛岩,22,5.0,6
麓湖国际高层湖景山景两房，近机场，万达广场，花生唐商场旁可做饭免费停车,216,近临桂新区,7,5.0,4
桂林水晶郦城精品公寓两室电梯房,259,近七星景区,59,5.0,5
【悠家】桂林市中央公园丨花生糖广场丨一院两馆丨桂林飞虎公园丨山水公园丨丨吾悦广场丨万达广场丨彰泰公园,156,None,2,5.0,4
D家象山公园店漓江边两江四湖景区房,182,近两江四湖,78,5.0,3
【双床三人闺蜜/亲子房】阳朔西街/网红INS风/榻榻米loft双床or温馨双床/【阳朔小毛驴民宿】,126,None,218,4.7,3
【夜空中亮亮的星】西班牙黑白灰+近桂林站象鼻山爆款,385,近七星公园,137,5.0,6
鹿港小镇家庭套房带电梯车位/近西街汽车站,308,None,118,4.9,4
西街100米豪华大床房带浴缸,288,None,7,4.9,2
【漓江边】近桂林站象鼻山南溪山医院，商务+旅游+就医，轻奢洁静电梯大二居,312,近火车南站,146,4.9,4
慢时光 网红打卡地西街塔/遇龙河/漓江,177,None,6,4.8,2
桂林碧桂园@明月阁轻奢公寓，近机场，近公园，近广场，近大学,172,None,12,5.0,3
桂林北站投影房文艺范设计师品牌•三里春风,165,近火车北站,6,5.0,2
【半夏】近市中心象鼻山网红日式复古复式大床房,155,近火车南站,32,4.9,4
[一米阳光]旅游商务皆宜，步行漓江边，近桂林站象鼻山会展中心3室2卫,363,近火车南站,152,5.0,6
【泊缘B栋】榻榻米山景大床房/近西街 免费停车 /天空之境拍照/私家花园,264,None,8,5.0,2
西街漓江边城景大床房/县城免费接/免费停车场/天然氧吧（近西街、印象刘三姐、十里画廊）,155,None,21,5.0,2
象鼻山两江四湖，桂林站，东西巷正阳步行街,122,近火车南站,19,4.8,2
民航对面#象鼻山漓江边/电梯房/沙发床可住3人,111,近火车南站,224,4.9,2
【泊云居】轻奢极简大床房\漓江边上\近火车北站南站\东西巷十字街\象山景区两江四湖日月双塔医学院校区,175,近七星景区,65,4.9,2
漓想民宿 | ins风～近象鼻山、东西巷、靖江王城、城中心，两江四湖环绕，距漓江100米，设计民宿,191,近两江四湖,25,4.9,2
温馨小屋（家庭套房）免费停车,239,None,36,4.9,5
【智能全景天窗】躺在床上赏月免费停车,186,None,41,5.0,2
山水凤凰城F遇见ai，舒适大床/厨房配套齐全可做饭/有阳台可晾衣服/近万达/近吾悦广场/免费停车,128,None,3,5.0,4
