民宿标题,价格,地利,评论数,得分,适合居住人数
【汤城温馨私汤一居】近温泉/奥莱/风景区,148,近汤山温泉区,14,5.0,2
近南京南站.夫子庙.宜家.老门东.秦淮河.「Bilin」全新 遇见潘多拉 loft 复式影院小屋,206,None,1,5.0,2
南京米素·时光公寓新街口地区/市中心精致单人间,113,近新街口地铁站,24,4.7,1
金陵小雅07 新街口地铁站||大洋百货||德基广场||高景观||近地铁，可达南京站，总统府，夫子庙等,125,None,4,4.5,2
【佩弦阁民宿-弘阳店】清香袭人/百寸投影/每客消毒/清新北欧风/近泰山新村地铁站,112,None,3,5.0,2
【屿岸】日式侘寂• 蝉林寂静丨IMAX巨幕影院丨夫子庙地铁口丨近新街口、老门东丨至南大、德基极便利,193,None,2,5.0,2
《橙之轻奢》大Loft百寸投影近南京南站,250,None,4,5.0,4
临近奥体元通雨润大街国际博览民宿公寓,217,近永初路地铁站,17,4.8,2
邂逅拾光 | ins系·雅致大床房（招商花园城ipark公寓）,124,None,31,4.7,2
新街口商圈地铁口近夫子庙总统府投影大床房,200,近珠江路地铁站,21,4.9,2
新房特惠-漫天地铁一号线 直达南京南 新,127,近南京交院地铁站,11,4.8,2
【pure soul】珠江路地铁站  ,128,近珠江路地铁站,3,5.0,2
南京汤山温泉温馨自助式loft公寓,193,近汤山温泉区,22,4.9,4
【米兰民宿射手】田园小清新风格/超大落地窗/夜景很美/俯瞰南京城,171,None,2,5.0,2
【绿意】近南京南站日式清新风,173,近花神庙地铁站,75,4.8,2
漫在C 南京南站/南航牛首山/大屠杀纪馆,219,近翠屏山地铁站,28,5.0,2
【土豆家】夫子庙地铁口北欧风公寓/免费寄存行李,245,近夫子庙地铁站,474,4.8,2
【花筑】三山街地铁|夫子庙步行街|明清古建筑|新街口商圈|特色美食|望乡特色大床房,287,近三山街地铁站,45,5.0,2
躺着看日出玄武湖豪华湖景房,254,近新模范马路地铁站,48,5.0,2
轻奢原宿|新街口民宿轻奢北欧风楼下地铁站,139,近新街口地铁站,2,5.0,2
刹那芳华丨两室一厅套房丨夫子庙地铁口丨近新街口丨夫子庙老门东双景区丨可寄存行李,368,None,3,5.0,4
君临*桂花🌸秦淮3人房,232,近珠江路地铁站,10,4.5,3
『熙禾』摩登时代-新街口‖艾尚新百金鹰‖珠江路‖巨幕投影‖夫子庙‖地铁口旁‖南京南站机场直达,201,近珠江路地铁站,19,5.0,2
锦舍赤金#3分钟地铁口中山陵浪漫落地窗,198,近下马坊地铁站,4,5.0,2
12 靠南京南站 毗邻夫子庙温馨恬适,122,近大明路地铁站,38,4.8,2
《池夏汉服》百寸投影南京南站夫子庙老门东,206,None,2,5.0,2
肯定铂金酒店(南京莫愁湖公园店)河西/万达广场/龙江地区铂金雅致大床房,171,近莫愁湖地铁站,13,4.9,2
『不看 · 小西几』近夫子庙老门东 直达新街口 |IMAX私人影院 |凹造型出大片黑白空间大床房,232,近三山街地铁站,5,5.0,2
11 靠南京南站 毗邻夫子庙温馨,122,近大明路地铁站,8,4.9,2
禄口机场大落地窗临湖大床房24小时免费接送机,200,近空港新城江宁地铁站,202,4.9,2
夫子庙地铁口400米阳光充沛电梯两房,224,None,20,4.9,5
『且听风吟』夫子庙地铁口50米｜IMAX巨幕投影｜网红摇篮椅｜泡泡球浴缸｜夫子庙老门东双景区｜可做饭,318,None,4,5.0,2
半宅·未央|地铁3号线|夫子庙老门东新街口|IMAX巨幕私人影院|繁华市里新街口太平商场水游城|,198,None,9,4.8,2
夫子庙地铁直达民国老洋房两室一厅慧园里,318,None,8,4.8,4
十号线工业大学站地铁口，60寸电视，整套房源，日式风，紧邻工业大学和青奥体育公园,142,近南京工业大学地铁站,14,4.9,4
半宅·画卷|地铁3号线|夫子庙老门东新街口|IMAX巨幕私人影院|繁华市里新街口太平商场水游城|,208,None,8,4.9,2
「壹茉」域元/新街口夫子庙珠江路地铁旁,180,None,12,5.0,2
