民宿标题,价格,地利,评论数,得分,适合居住人数
长沙向日葵酒店式公寓梅溪湖/麓谷商圈城景大床房,152,近文化艺术中心地铁站,41,4.7,2
〈一屿-卫斯理〉近五一广场太平街/巨幕投影/轻奢复古风/全江景落地窗/观景露台,371,None,13,4.6,2
美宿晨光【近文和友龙虾馆+五一广场】,301,近湘江中路地铁站,64,4.7,2
梅溪湖A/楼下地铁口/Loft/五一广场/橘子洲/岳麓山/地铁直达,244,近麓云路地铁站,10,5.0,2
轻奢·舒适大床房（长沙高铁南站专车接送）,226,近长沙火车南站地铁站,217,4.8,2
长沙二月二公寓酒店高铁南站/国际会展中心商圈特价单人房,127,近杜花路地铁站,31,4.8,1
桔梗逸宿法式风情透明浴室风情大床房,224,None,6,5.0,2
MEER麋洱民宿·友待  五一广场/IFS国金中心/解放西路/黄兴步行街地铁站/坡子街/大床房,598,None,5,5.0,2
美天国金IFS投影大床房（房间随机安排）,271,近五一广场地铁站,165,4.9,2
五一广场地铁口 投影双床房   ifs国金中心 太平街 坡子街,550,近五一广场地铁站,400,4.9,4
仲夏夜之梦大床房(投影•洗衣机•停车票),178,近梅溪湖西地铁站,4,5.0,2
【吾悦】异国风情-日系大床房/近中信广场地铁站/环宇城商城/理工大学云塘校区,149,None,16,5.0,2
长沙新铭酒店五一广场/IFS国金中心/长沙站豪华大床房,162,近袁家岭地铁站,4,4.8,2
鼎利公寓(长沙理工大学金盆岭店)雨花亭/林科大精品单间,125,近涂家冲地铁站,27,4.7,2
“轻雾”轻奢影院Loft/投影/衣服免费送洗/智能窗帘/民政学院/林科大/铁道学院/德思勤#行李寄存,268,None,11,5.0,2
长沙大道 五一广场 近地铁口 日系清新风,250,近长沙大道地铁站,19,4.7,2
城市田园·农业大学130平大两居/高铁站,261,近人民东路地铁站,25,5.0,4
长沙雅客公寓金盆岭店雨花亭/林科大豪华双人间,207,近涂家冲地铁站,64,4.9,4
IFS国金中心五一广场芙蓉广场ponpon糖&,279,None,8,5.0,2
圆床/近德思勤广场/近医院/轻奢美式风格,176,None,4,4.7,2
素影~美食街/楼下茶颜悦色/近高铁南吊椅,198,近沙湾公园地铁站,90,5.0,2
五一广场 坡子街【一居室麋鹿大床房】国金中心ifs/解放西/近岳麓山/橘子洲头,282,近南门口地铁站,193,4.9,2
机场网红北欧风情侣大床公寓套房（免费接机,164,近机场地铁站,121,5.0,2
【一城】九龙仓对面 近五一广场法式复古风,292,近黄兴广场地铁站,8,4.5,2
新房源，女子大学旁近德思勤可做饭公寓,150,近省政府地铁站,381,5.0,2
【Julia&Home】-朱莉家民宿-德鲁纳酒店风超赞江景秋千房，全屋智能家居，近IFS五一广场北辰,336,近北辰三角洲地铁站,20,4.9,2
【Loft·智能家居】地铁口/烈士公园/省博物馆/湖南广电/湘雅附一/省妇幼/近五一广场/专业保洁,279,None,3,5.0,2
溪宿/梅溪湖湖景简美居室地铁口直达楼下,200,近文化艺术中心地铁站,5,5.0,2
德思勤 花遇和风【墟里】中式 落地窗 ,298,近省政府地铁站,5,5.0,2
O_W民宿【月野】智能投影/浴缸/超大落地窗/靠近高铁南站/旭辉国际广场/海底捞/免费寄存行李,238,近沙湾公园地铁站,67,4.8,2
（玖舍）黄花机场  单独两室大床房,188,近机场地铁站,32,4.7,3
《homier》五一商圈 巨幕投影,223,近培元桥地铁站,4,4.5,2
省府红星德思勤可做饭二室家庭套房,255,近省政府地铁站,12,4.9,4
长沙岳麓区江景圆床复式套房，近中南大学,210,近铁道学院地铁站,4,5.0,2
林科大 德思勤 近地铁 中式风 独立书房 可办公,239,近友谊路地铁站,84,4.9,2
近五一广场，正地铁口轻奢粉Loft大床房,254,近黄土岭地铁站,12,4.8,2
黄花机场时尚标准大床房，免费接送机,115,近机场地铁站,1183,4.9,2
米馨三人电影房,280,None,1,5.0,3
【星宜家】凤凰城万象汇麻将房星沙地铁口大众传媒松雅湖近世界之窗广电中心中茂城星沙汽配城星沙汽车站,303,None,2,5.0,7
【依家】复试loft两居/可做饭/中央空调/茶颜悦色-万家丽双地铁直达五一广场IFS-橘子洲-岳麓山,414,None,4,5.0,4
【吾悦】莺时-北欧大床/全身镜/可做饭/高清巨幕投影/地铁一号线/环宇城/生态动物园/理工大云塘校区,187,None,2,5.0,2
｛辛夷·家｝中南大学江景日式原木空间1号,177,近涂家冲地铁站,9,5.0,2
悠然舒适亲子房,278,近杜花路地铁站,173,4.9,4
【逸•墅】世界之窗/广电/会展中心/海底世界/中南汽车世界  简约风舒适民宿,188,None,5,5.0,2
【o_w民宿•黛青】超大落地窗/智能投影仪/可免费寄存行李/开福寺地铁站/靠近五一广场,288,近开福寺地铁站,9,4.6,2
【和颜悦舍】湖南广电/双地铁口/世界之窗海底世界会展中心/恒大雅苑/长沙大学/国防科大/马栏山,402,近广电世界之窗,7,5.0,6
