公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
安迈云,高级嵌入式软件开发工程师,10k-15k,软件开发 不需要融资 150-500人,经验3-5年 本科,“高级技术管理 团队牛逼 项目国内领先”,嵌入式 ARM ,[高新区]
大淘客,高级运维工程师,10k-20k,"移动互联网,电商 不需要融资 150-500人",经验5-10年 大专,"“年底双薪,五险一金,带薪年假”",Linux ,[高新区]
心田花开,高级运维工程师,15k-20k,教育 未融资 500-2000人,经验5-10年 本科,“晋升空间大。 团队年轻有热情，氛围轻松互助。”,自动化运维 Python Jenkins Java ,[桐梓林]
三节课,Teammark-高级运维开发工程师,15k-25k,"教育,企业服务 B轮 150-500人",经验3-5年 本科,“一群有想法的人凑在一起想把一件事做成”,运维 ,[高新区]
盛趣时代,测试工程师（社交APP）,8k-12k,"移动互联网,电商 不需要融资 150-500人",经验5-10年 大专,"“六险一金,周末双休,朝十晚六,节日福利”",社交 测试 app测试 ,[石羊]
三节课,高级测试开发工程师,18k-30k·14薪,"教育,企业服务 B轮 150-500人",经验5-10年 本科,“良好的互联网氛围”,测试开发 ,[高新区]
科来,C++开发工程师,15k-25k,"企业服务,其他 A轮 150-500人",经验3-5年 本科,“15薪 职业发展 领导nice”,信息安全 后端 C++ Linux/Unix ,[高新区]
人大金仓,软件测试工程师,10k-20k,数据服务 不需要融资 150-500人,经验3-5年 本科,"“六险一金,弹性工作制,团队氛围好”",自动化测试 测试开发 ,[高新区]
鼎元泰富资产管理中心,中高级测试工程师,9k-14k,区块链 不需要融资 50-150人,经验3-5年 大专,“地铁口，带薪年假，成长红利”,测试开发 ,[高新区]
BBD,中(高)级算法工程师(J10320),14k-25k,数据服务 D轮及以上 500-2000人,经验3-5年 硕士,“大数据领域 团队氛围好”,Java 自然语言处理 TensoFlow PyTorch ,[高新区]
BBD,测试工程师(J10186),7k-12k,数据服务 D轮及以上 500-2000人,经验3-5年 本科,“大数据领域 团队氛围好 技术挑战”,功能测试 接口测试 性能测试 Web测试 ,[高新区]
成都肆零肆,渗透工程师,15k-20k,"信息安全,数据服务 未融资 50-150人",经验不限 不限,"“五险一金，生日福利，免费饮品,集体出游”",信息安全 网络安全 Linux Windows ,[肖家河]
DataCastle,Java工程师,10k-14k,移动互联网 天使轮 15-50人,经验1-3年 本科,“奖金，带薪假，培训，节假日福利，补贴”,大数据 Java ,[高新区]
DataCastle,算法工程师,10k-20k,移动互联网 天使轮 15-50人,经验3-5年 本科,“下午茶、扁平管理、年假、旅行”,大数据 算法 数据挖掘 人工智能 ,[高新区]
玉米树科技,游戏服务器,10k-20k,"游戏,移动互联网 未融资 15-50人",经验3-5年 本科,“五险一金、定期理疗+健身、餐饮补贴、培训”,C C++ Linux/Unix ,[高新区]
超时空探索,app测试工程师,8k-13k·13薪,移动互联网 / /,经验3-5年 本科,“团队职业/尊重客观规律/福利优渥/前景广阔”,移动互联网 直播 功能测试 自动化测试 app测试 客户端 ,[高新区]
生学教育,DBA（数据管理员）,13k-20k,"移动互联网,教育 A轮 150-500人",经验3-5年 大专,"“五险一金,带薪年假,弹性工作,扁平管理”",云计算 DBA MySQL 数据库 ,[高新区]
生学教育,图像识别算法工程师,18k-30k,"移动互联网,教育 A轮 150-500人",经验3-5年 本科,“五险一金、绩效奖金、带薪休假、弹性工作”,教育 人工智能 图像处理 算法 ,[高新区]
三代人科技,测试工程师,9k-15k,"移动互联网,医疗丨健康 不需要融资 150-500人",经验3-5年 本科,"“大牛领导,成长空间大,福利好,年底双薪”",功能测试 性能测试 测试 自动化测试 ,[高新区]
创立科技,系统运维工程师,7k-10k,"移动互联网,硬件 上市公司 500-2000人",经验3-5年 本科,“系统工程师、系统运维”,Linux ,[神仙树]
NoahMob,BI工程师/海外游戏数据开发工程师,7k-14k·14薪,"移动互联网,广告营销 不需要融资 150-500人",经验1-3年 本科,“一年14薪，试用期全薪，全额五险一金”,游戏 MySQL 数据架构 ,[青羊区]
NoahMob,游戏运维工程师,6k-10k·14薪,"移动互联网,广告营销 不需要融资 150-500人",经验1-3年 本科,“一年14薪，试用期全薪，全额五险一金”,游戏 ,[青羊区]
萌想科技,数据分析师,5k-8k,企业服务 B轮 150-500人,经验1年以下 本科,“五险一金 团队实力 周末双休 年终奖金”,美女多 技能培训 扁平管理 领导好 ,[高新区]
飞欧比科技,运维工程师,10k-20k,移动互联网 不需要融资 15-50人,经验1-3年 本科,“双休，13薪，奖金，节日红包，零食”,工具软件 移动互联网 Linux 系统运维 监控 TCP/IP协议 ,[高新区]
艾拉物联,测试工程师,7k-12k,"移动互联网,硬件 A轮 150-500人",经验3-5年 本科,“寻找乐于投身物联网开发的优秀工程师。”,测试 产品测试 自动化 ,[武侯区]
爱米猫,测试工程师,7k-14k,"广告营销,软件开发 不需要融资 15-50人",经验5-10年 本科,“五险一金，周末双休，节日福利，高额奖金”,新零售 信息安全 ,[高新区]
中科金,运维工程师,10k-20k·14薪,金融 B轮 2000人以上,经验3-5年 本科,“技术大牛，五险一金，试用期全薪，年终奖。”,K8s/Docker Shell Python 运维开发 ,[武侯区]
海康交通大数据,大数据挖掘工程师,10k-15k·14薪,"移动互联网,数据服务 不需要融资 50-150人",经验1-3年 本科,"“五险一金,团聚,欢乐,学习”",Hadoop 数据挖掘 ,[双流区]
海康交通大数据,测试经理,20k-30k,"移动互联网,数据服务 不需要融资 50-150人",经验5-10年 本科,“14薪；五险一金；节假日福利”,测试管理 团队建设 目标管理 ,[双流区]
中科慧源,高级运维工程师,10k-15k,"企业服务,数据服务 不需要融资 150-500人",经验5-10年 本科,“发展空间大，扁平化管理”,系统运维 ,[高新区]
NEXA,数据分析师（高级）,12k-20k,"移动互联网,游戏 不需要融资 50-150人",经验3-5年 本科,“五险一金 带薪年假 周末双休 节假日福利”,游戏 MySQL 数据分析 ,[锦江区]
NEXA,数据分析师,12k-20k,"移动互联网,游戏 不需要融资 50-150人",经验3-5年 本科,“五险一金 带薪年假 周末双休 节假日福利”,SQL 商业 BI 数据分析 ,[锦江区]
ZStack,运营商售前-base成都,12k-18k·15薪,"数据服务,信息安全 B轮 150-500人",经验1-3年 本科,“行业领先，大牛云集，扁平化，五百强福利”,云计算 售前支持 ,[武侯区]
成都佳发,自动化测试工程师,6k-12k,教育 上市公司 500-2000人,经验1-3年 本科,“蓝海行业 上市公司 股权激励 项目奖金”,教育 测试 自动化 ,[武侯区]
成都佳发,测试开发工程师,6k-12k,教育 上市公司 500-2000人,经验1-3年 本科,“蓝海行业 上市公司 股权激励 项目奖金”,教育 测试 测试开发 ,[武侯区]
德特赛维,维护开发工程师,10k-15k,"数据服务,通讯电子 未融资 50-150人",经验3-5年 本科,“五险一金、绩效奖金、周末双休、项目奖金”,大数据 Python Shell Java ,[青羊区]
德特赛维,大数据平台运维工程师,10k-15k,"数据服务,通讯电子 未融资 50-150人",经验3-5年 本科,“五险一金、周末双休，定期体检，年终奖”,通信/网络设备 Linux Python 系统运维 大数据运维 ,[青羊区]
微博,前端开发工程师,15k-30k,文娱丨内容 上市公司 2000人以上,经验3-5年 本科,“重点业务、绩效奖金、各种福利”,社交 移动互联网 前端开发 ,[高新区]
厦门科拓通讯技术股份有限公司,大数据开发工程师,15k-25k,"硬件,企业服务 不需要融资 500-2000人",经验5-10年 本科,“双休弹性上下班 团建活动丰富 带薪年假”,数据仓库 Hadoop Java ,[武侯区]
iSlide,Java负责人,14k-20k·13薪,移动互联网 未融资 15-50人,经验5-10年 大专,“牛人多 产品好”,后端 Java ,[高新区]
咪咕,运维开发工程师,12k-18k,"移动互联网,文娱丨内容 不需要融资 2000人以上",经验3-5年 本科,“有挑战性、福利好”,DevOps/AIOps Linux ,[高新区]
咪咕,运维开发/Devops工程师,15k-30k,"移动互联网,文娱丨内容 不需要融资 2000人以上",经验3-5年 本科,“有挑战性、福利好”,DevOps/AIOps ,[高新区]
新清,Nodejs开发+运维工程师,10k-20k,"移动互联网,医疗丨健康 A轮 15-50人",经验3-5年 本科,“办公环境好，公司氛围好，不加班，升职空间大”,医疗健康 Python 人脸识别 服务器端 ,[龙泉]
MATRIX TECH,GO后台开发工程师,12k-24k,"金融,区块链 B轮 50-150人",经验3-5年 本科,“弹性工作；六险一金；大咖云集”,移动互联网 金融 docker 后端 数据库 ,[高新区]
神策数据,后端研发工程师-分布式数据应用（成都）,15k-30k,数据服务 C轮 500-2000人,经验1-3年 本科,"“技术大牛,行业前景好”",企业服务 大数据 J2EE Java Hadoop ,[武侯区]
成都主导,中级图像算法工程师3D,17k-24k,其他 不需要融资 500-2000人,经验3-5年 硕士,“行业前景广阔，技术成熟，团队nice…”,智能硬件 ,[文家]
江民,linux c/c++开发工程师,15k-30k,信息安全 未融资 50-150人,经验3-5年 本科,“五险一金”,Python ,[高新区]
成都主导,图像算法开发工程师,10k-17k,其他 不需要融资 500-2000人,经验1-3年 硕士,“图像核心技术、职位晋升通道、国内外展会交流”,年底双薪 绩效奖金 专项奖金 通讯津贴 ,[文家]
衫数科技,运维工程师,10k-18k,"数据服务,软件开发 A轮 150-500人",经验5-10年 本科,“发展前景”,自动化运维 云平台运维 ,[高新区]
衫数科技,高级算法工程师,18k-35k·14薪,"数据服务,软件开发 A轮 150-500人",经验3-5年 本科,“精英文化、扁平化管理”,电商 大数据 深度学习 数据挖掘 搜索算法 推荐算法 ,[高新区]
广播电视研究所,java大数据开发工程师,10k-15k,其他 不需要融资 150-500人,经验3-5年 本科,“五险一金 周末双休 地铁周边 扁平化管理”,大数据 Javascript Hadoop Scala Java ,[高新区]
