公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
时代区块链,服务端开发工程师-php方向,18k-25k,"金融,移动互联网 未融资 50-150人",经验3-5年 本科,"“双休,五险一金，组织旅游，节日福利”",PHP MySQL 服务器端 ,[西丽]
深圳出版集团,php研发工程师,15k-25k,其他 未融资 500-2000人,经验1-3年 大专,“五险一金、员工食堂、节日福利、年终奖金”,新闻/出版 PHP MySQL ,[罗湖区]
深圳华秋电子有限公司,PHP高级开发工程师（主管）,20k-30k,"移动互联网,电商 B轮 500-2000人",经验5-10年 本科,“公司背景好”,电商 媒体 PHP ,[福田区]
掘金宝资讯,php架构师,18k-35k,"文娱丨内容,社交 不需要融资 50-150人",经验5-10年 本科,“年底14薪，下午茶，旅游，奖金，节日福利”,后端 架构师 网络优化 分布式 ,[科技园]
明源云,PHP研发,15k-25k,电商 上市公司 2000人以上,经验3-5年 本科,“上市公司 丰厚年终 花式福利 大牛团队”,云计算 移动互联网 ,[大冲]
果酱时代,PHP开发实习生,4k-5k,"移动互联网,社交 B轮 50-150人",经验不限 本科,“下午茶 氛围好 领导好”,PHP ,[南山区]
小鹅（小鹅通）,PHP研发工程师（中级）,10k-20k,"移动互联网,社交 B轮 500-2000人",经验3-5年 本科,“发展前景好、核心项目、领导nice、技术大牛”,后端 PHP MySQL ,[南山区]
海那边,PHP高级工程师,18k-25k,"电商,消费生活 B轮 150-500人",经验3-5年 本科,"“技术大咖,弹性时间,晋升空间大”",PHP MySQL ,[科技园]
力美数字,PHP中级工程师,7k-10k·13薪,"移动互联网,企业服务 未融资 15-50人",经验1-3年 本科,“五险一金，下午茶，生日礼物”,PHP ,[龙岗区]
力美数字,php高级工程师,10k-15k,"移动互联网,企业服务 未融资 15-50人",经验3-5年 本科,“五险一金，下午茶，生日礼物”,PHP ,[龙岗区]
蛋壳创意科技,PHP开发工程师-高级,9k-14k,"移动互联网,其他 未融资 50-150人",经验1-3年 大专,"“地铁周边,年轻团队,下午茶,季度提薪，双休”",Java PHP ,[龙岗区]
星尘游戏,PHP中高级工程师,15k-25k,游戏 不需要融资 50-150人,经验3-5年 本科,“领导nice 足够大的平台和数据量”,PHP 后端 数据库 ,[大冲]
QooApp,PHP 高级开发工程师,15k-30k,"移动互联网,游戏 A轮 50-150人",经验5-10年 大专,"“双休,五险一金,创业团队,餐补”",PHP 后端 ,[南山区]
既明科技,实习PHP后端,3k-6k,移动互联网 不需要融资 15-50人,经验应届毕业生 本科,“每天必备下午茶，团队氛围良好。”,广告营销 后端 PHP ,[华侨城]
明源云,中高级PHP开发工程师,16k-28k,电商 上市公司 2000人以上,经验3-5年 本科,“六险一金、五天七小时、职业发展空间”,移动互联网 docker 分布式 后端 MySQL ,[大冲]
TRIWIN GAMES,游戏PHP开发工程师,12k-18k,"移动互联网,游戏 A轮 50-150人",经验3-5年 本科,“氛围活跃 晋升空间大 季度奖金”,游戏 PHP 服务器端 ,[宝安区]
万师傅,php开发工程师（中级）,10k-15k,"电商,消费生活 A轮 150-500人",经验3-5年 本科,“弹性上班，双休，团队氛围好，发展前景好”,PHP ,[西乡]
掌酷软件,PHP产品开发工程师（PHP全栈开发工程师）,12k-18k,移动互联网 C轮 50-150人,经验3-5年 本科,"“弹性上班,加班补贴,挑战性强”",移动互联网 PHP MySQL 全栈 广告算法 ,[南山区]
云启星辰,资深PHP后端开发工程师,15k-25k,移动互联网 A轮 15-50人,经验5-10年 本科,“腾讯系，天使轮千万融资，丰厚的股权激励”,大数据 Linux/Unix 后端 服务器端 Laravel ,[南油]
云启星辰,PHP后台开发(应届),5k-10k,移动互联网 A轮 15-50人,经验1年以下 本科,"“福利待遇好,大咖顾问多,团队氛围好”",企业服务 PHP ,[南油]
农博创新NBI,PHP开发工程师（主程）,14k-22k,"硬件,移动互联网 不需要融资 15-50人",经验3-5年 本科,"“行业前景大,年终奖,扁平化管理,双休”",大数据 智能硬件 MySQL PHP ,[西丽]
汇星科学研究,php高级开发工程师,15k-30k·13薪,"电商,软件开发 不需要融资 150-500人",经验5-10年 本科,“发展前景好，五险一金，员工活动丰富”,Python Golang PHP ,[龙华新区]
深圳市核子力量科技,PHP后端开发工程师,8k-15k,移动互联网 不需要融资 15-50人,经验应届毕业生 本科,"“弹性工作制,五险一金,带薪年假,股份/期权”",后端 MySQL PHP ,[龙岗区]
深圳市嘉鸿网络科技有限公司,php开发工程师,14k-20k·13薪,"电商,移动互联网 不需要融资 500-2000人",经验3-5年 本科,“朝阳行业 发展前景可观 团队年轻化”,PHP MySQL ,[科技园]
金龄科技,PHP,15k-25k·13薪,"移动互联网,医疗丨健康 未融资 50-150人",经验3-5年 本科,“五险一金 年终奖 节日福利 带薪年假”,股票期权 年终分红 带薪年假 五险一金 ,[大冲]
深圳市嘉鸿网络科技有限公司,高级php开发工程师,25k-35k,"电商,移动互联网 不需要融资 500-2000人",经验5-10年 大专,“发展前景好，福利待遇优厚”,电商 MySQL 后端 PHP ,[科技园]
盈富斯,PHP工程师,13k-20k,电商 C轮 150-500人,经验1-3年 本科,“奖金激励，五险一金，电商平台”,电商 docker MySQL ,[西丽]
红坚果,php开发工程师,15k-20k·13薪,企业服务 不需要融资 15-50人,经验3-5年 本科,“周末双休、六险一金、带薪年假、团建旅游”,PHP Golang Python 后端 ,[南山区]
万兴科技集团股份有限公司,高级php开发工程师,18k-30k,移动互联网 上市公司 500-2000人,经验5-10年 本科,“上市公司 发展空间大 管理规范”,PHP 后端 MySQL 分布式 ,[科技园]
深圳市神科科技有限公司,php开发工程师,10k-15k,软件开发 未融资 15-50人,经验3-5年 大专,“氛围好，进度空间大”,PHP ,[龙华新区]
候鸟科技,php开发工程师,7k-12k,"电商,移动互联网 天使轮 50-150人",经验1-3年 大专,“五险一金 、带薪年假、团建”,电商 后端 PHP Javascript ,[南山区]
骅強,php开发工程师,8k-13k,电商、其他 未融资 15-50人,经验3-5年 不限,“后端开发”,PHP ,[龙岗区]
讯极网络,PHP开发工程师,10k-15k,"移动互联网,消费生活 未融资 15-50人",经验应届毕业生 本科,"“高收入,高底薪,前景好”",MySQL ,[宝安区]
纵腾网络,php开发工程师,17k-25k·14薪,"电商,移动互联网 上市公司 2000人以上",经验5-10年 本科,“需要具有大型数据项目经验者”,电商 物流 PHP 后端 ,[龙岗区]
巨拓科技,php开发工程师,23k-30k,"电商,数据服务 天使轮 150-500人",经验5-10年 本科,“众多行业大牛，行业内有竞争力的薪资福利”,PHP MySQL ,[龙岗区]
500.com集团,php开发工程师,15k-25k·13薪,"移动互联网,电商 上市公司 150-500人",经验3-5年 本科,“上市公司，氛围轻松，福利优厚”,PHP ,[南山区]
